prompt,LLC-load-misses,dTLB-load-misses,cycle_activity.stalls_total,instructions,cycles
[Cq~C}+*5)QW.RVf$CS5G(NIC!,19777371,4076319,7822098763,19604096311,17205955159
wPQJybR]lw,19118456,3861971,6896484540,18657611823,15421250087
"lKee83gN>M6gZTG .9>;X,UsvT_S\=MUWpG6z?!k:es'o;:rvC",18491456,3935513,7630017016,18981502478,16967582431
S&;&wh@(`p,19731935,3924701,6917530800,18848540967,15389590533
"j(](E&b{vK*f\EE;R`7nZ',}|t3oUY@)q",19959716,4664761,8330067870,20258328379,18324903963
5x2j1JHD*?S{SW83%{58qC_jx:!nLNMa(0V22WdZ7(,18108581,3918738,7429165470,18740371618,16599636802
rm7|R`R0TKgpg*V$M.`{N.+c:jvAj%s#QDm(0B|5&:UTL|#B,17689884,3992993,6794002544,18645905343,15214605770
"iR(Agoa;mDYoVEtDy_))t,R-N@qUs@Q",19672501,3883698,6829926710,18816137321,15304285745
"C(1h#Mp(s~~O17,""9gdbw2",19174220,3909288,7541215855,19567018789,16813496616
"W""gB-fU_+lZ_)!rD#pdjmt'",18711891,3881253,7362676923,18821593980,16486382641
<B$Q{A;Vl8N!_9PzPTfrem;i}GAIf,18320622,4534029,6254195094,18174389446,14161578122
t(EFaSsCv4@ed7gZdzDS9zJ}!oEYz^n!Q.),20680247,3941552,8002466694,19739348485,17546290706
"},!k-@_ ($yY5yTTol2x}j`&.Zsa`[* DlY]CEc}M/?M5a",18298097,3948946,7571614637,19580314215,16875321234
YH|`zOD%jahPLP,18701994,3938565,7153758608,19159524200,16030592646
@RNM0gV9|y7[YMqF[<3-4TO(=(VvLCa5,18267198,3963396,6473497279,18461258439,14594437412
Y.-Lfw>9H^>1RHx&p,21407736,3966933,7183226732,18879575165,15775669891
i>5*9L%y44bF=D;l ?Oq:^zJLvYg?J?UH.s/B7,19108187,4099409,7370924010,19304706823,16357713942
"|X}ZJGkkb^?E8oX5DAM,[W\v6&f`X]gS*>J4C'$_!`6k",18608687,3948650,7016466362,18958075274,15699475833
k$f{}t<3>2t;Zb[nHZ7RTCUf1@tF,17812137,3913880,6449479079,18388547485,14531053611
"q0$U{,@hH'ltI7\cslw}:\d:Z1?*hC5\O-Y C",20676024,3990775,7584043166,19356096897,16694677304
"n?Y=NA%ffA\y(""arA]1|~2{0O@zQ9/I<t\`U>]?[\",18986237,3969205,7946704531,19964634523,17620859753
"-*vBf5({2T Jxa?}a""zzw~]c+F$dA",19113789,4510308,6985892087,18865112192,15615719537
",-UoTmhtEm >Hz+Jj.6-&wze7#+4cIjn,",18279249,3932618,7565507013,19633896347,16890761126
)3vyN:b6n:)cy-l5TjJ0V$B;x `mL++Gt1zjSLjQHGnRt>Xc0p,20459428,3903859,6787243368,18534276428,15079776784
"R(W,hP_I(|48'GJ<S`M3?xZfyWG=z *4U",18961795,3891017,7702697072,19767353340,17153078224
7I<tM/6(q0M+N,18646076,3900278,6715771731,18624511818,15030787631
"=8:@5`v*Xbm85,yuq!KM>9!*UR0M?z<Bki",18500383,3929004,7600500469,19345478219,16949121906
"3*""pbh&^{Y9',f~`Y^o]%5CoL{R&4tpGMPyT",19461846,4376595,7610271515,18981587462,16908944534
"u?4!:r\,U;fa9NhaFA`L~MaMA^23VF;Qk-DXIV>X&l%LKw_'",18534795,3932329,7489843773,19466350302,16688800733
"ghNG@QnKx.vv}9BL7@,!BHH_Hn n'}n;'jp;|'6S?bm!&",18794107,3924208,7269764417,19123006518,16164933062
"{fdY.a,rysU@[:X-iD",18427727,3898028,7233522853,19012647095,16168109780
"4%k=jXa""]}Q8*nJGcHfk[V.L'DKiU6'AOj]41q]FJz$xv/",21910407,4401100,7921105712,19342113921,17121736272
[TEkQ:J/V5o(A_f-MAGb<~,19104231,3992574,7552174112,19455987857,16739715621
#+E<>@&pe+h_pR%/=DY&ZYdO7;,19320925,4205384,7053866007,19027042399,15819464570
";_POV<vZ{Z^O~`;``b~v""~p{D>l_N5IKg",19069304,3860298,7403891404,18718316610,16462748364
"ohGfsR5>ny^PJ""/j5]Bw,'_TweB&/xzQ~~WmWhX$0C",20434399,3915350,6948603551,18726314382,15392841123
"sQM</M a2.Jp/lG^],Zp:=(lnkTO/9r4J||vL/""@V",19913714,4002048,7877622661,19858890861,17459415732
"]6rk(\[H=&TNt(pS|5Cbogq)k;p{EicD1v,-.NnHXf<Z4L[9",18227164,4014891,7056076651,18917589640,15821993686
)'=Q|ojL(N%_Lwxlzn,18731594,4560923,7015457213,18871271059,15749605368
:%vQaR!6dtg)1?q;v+EC^z@u^q=f`:Mk*xype]DF,20336097,4177163,6843550028,18500052902,15061625680
('}o|.rbL+q`Q,19706143,3878431,7590586407,19481947411,16797991297
"O4--uR JQX'ed\f5GHsF'*WH$>_# ?v+4z05,{Zx{+2#nuP2BY",18275689,4003599,7060726573,18715192581,15670458096
".|4|gz ,TX\TFHGPLdCCQ zJCIs/3$#2/",17951114,4029191,6820530025,18827415119,15334336309
-]MYk'r0#][f 0=5X:*@4m0QD=Tpb9zi1nv+ssL}jr'C,20242589,4215425,7081415028,18554375565,15751482937
grD'#+!/^+,18236817,4767217,7715277154,19554118293,17110400761
C)ugrDklm~D'U:vv#Yz B,15993363,3857426,6724737905,18766868277,15254493665
"mLp$XU^QbWW4tCa""Epc0",16475762,3870599,6619565062,18588434933,15037001542
4urgHOb?pcXWjd0=O(l2BoN$3){B#,16637297,3834456,6690816875,18832478729,15210193305
":XL8cjM.S9\;84j[uj.""m44IxV3hw>1:*@eL&7G&""I@RU1",16904217,3968921,6902877272,18814741022,15574890102
`1c|>6..n-;~x/.t/}j@~Wom|;Ir.Z9R,19602885,4125289,6751317737,18492020965,15028261250
"p`<AZG:Fd$)k90w q_ `GAX jGzp%*""}-& eX`#{\eP.9X1o`",19684045,3930581,7734513598,19618836974,17062140332
"c>}su t4Q-geeP`cC""!SmF6@2gmqN_(`'4W",17823798,3952895,6639184057,18639018724,15003895911
"%[UGuWLd5U2uHO\1y,cg2ml,X`72^4Ir",18287409,3852106,7219695241,19257010078,16187065868
""" )N|6IC_GNJ[<B&HSY}8]{Qj&>I)x1Gj9#o5FE~",20482111,3901448,8057591410,19791892802,17641627368
"T Q0uwZ=kVoMq""La&c{A`>'(^c9CN}},t",19992478,3866902,8161918089,19790203720,17777445217
gvQ/Q]46SlpN%N'MpV(5dy{@u[%v4,18153696,4592647,6720205091,18670973216,15141830810
8||v!)!11(4_Sd;}4fx\O8|SKT),18536862,3924717,7122093142,19086825808,15934498165
"Zb!*4XY/j*5naNZh#<:R95xcg]:qJc""MLI-X",20935429,3922520,7260501814,19017187145,16002493328
$~2k9\2XIuk8yai|[q3H8LjeKE,20790284,3984441,6968850925,18876422698,15508466085
"D*[CzM?&M0,uCQR",18303771,3926130,6423492253,18382773145,14560781960
EM!rmG{tAwZNV&Smg5?,19490496,3921349,6307139762,18143773787,14164225933
"X(,3lG[e/UQ4LTB^-P5X s""w""WB8z{03v\v*Fj5r>zCI?",19254246,4134049,7030764208,18843588301,15690917725
{S~5N!>#<){,19564006,3930630,6326140115,18013017235,14121714487
4:;X3j/R<ntFWRuy2.,21329236,4015266,7007465800,18720008247,15549854920
5 }4h{nLY&{J` msM`:I-4fdSY,18501401,3874906,6905602858,18933994746,15560524414
"O*qxxu""?p..k:PP]IRg2a<Zm,n32v",17945886,3924010,6433557240,18464085261,14649765032
ADBls[ET3[%>`LSaS-s<<,18844809,4075653,6783420190,18600902613,15190451242
"-MR1t=4A1F7$mqxP7YN,ss3h'mLY`!`$zdMi^CI~Lnd1;!o,^",17951169,3935478,7276022376,19247146311,16261025058
a}t2-o oY`M)<3):*&#'QD`I^X}8>z!=ERlKZ-Ro(,18694041,3945355,6902146186,18761499656,15487443490
"9,S?Txj$RbXnYB?3qg+MS]6?",21577637,4550650,6856335675,18054953410,14934961858
0WUh&?nmwsGm-U#Kp,22568565,3915616,7475735605,19118145280,16302667653
W`;8sw(eS!$q]uDf,18322190,3849840,6475493632,18484960519,14745470840
*{O7K#OU/a+d3_*,19401484,4279183,6812797096,18673712277,15196237362
"y=?rG:|SV-.PeP:T~i}\isA,9Z(;[}GjmvH\=",20149196,3990941,7340766266,19061712040,16175798257
"T9""]/1?F^N&438=QTRq`Dhsr88O0qaiqpL",20197483,3920565,6831256516,18641185846,15239638356
"+lgAdQu\,mY\HJ{+J9YXq[MjRqih;0uB3mK>",18276404,4085114,7471311222,19482824094,16693558324
v'Rk4L|W`'A$2pXlnAAT&6/z~0Z`_G''Cu,17624517,3899645,6905131388,18964789002,15550227608
ox6HJ0xPG1rM=}P-ff le~gH?@TFgm<7D_RE),17705909,3858785,6842751207,18900578021,15501782533
"9lx|r3fsDV\f'"">) F)S+p=oA!|EfqCUSj={0Lp>EJ=`+fc#*3",20440286,4682272,7220020165,18909504681,15949200636
)]Q\a);rb[D(+$([3)iPIKp?c7XZHuPc):Z$PlJG,20025838,3964079,8050945723,19907171464,17655048700
R&9-(6xEZsYy%,17705228,3865308,7049651972,18902618553,15821093798
KHVt24dV_hj!'ZlRx)gAVA=es6wph-Qo(xV,17878635,3930968,7258104423,19211906539,16307308936
*LdoEmIgab9ZeO|R_$ToIKfSP,21088297,3904641,7362996454,18457836041,16255840974
{vZy/h'5d>@Tfj?<=r*(?`U,20617787,4526692,7633995787,19478273197,16842468259
8g993=&[QO>iNlS'ZzgqrW1t`~0}X81(p:[,17510752,3937302,6978609390,19108082662,15802120751
"TJk^^+n>""UHG}QU/w_C XQ",18771998,3891889,6661219140,18461669536,14961744573
#v.`- z5m5h~9Uajd9@g9-gEmnt49,21128641,4151120,7611355474,18751881715,16629807208
~N(Swoo+VRs Iv0Bm^J5Q,22032079,4292035,8624295381,19790867626,18753214763
"1Qj{(BDN$VFS*.R""GC+ *9kqaIA0RU lqzk~]/=SJfnEx """,18594962,3895201,7752671036,19762605254,17348086928
Vh:`|@.|bF58Ro@@43(dQ_,18227545,4531402,6719368782,18649412071,15157153296
">zW%FR""#\6:2MO1{CIz:6Y@j",20778281,3866215,6958753361,18457182634,15331596767
oWqQ?aey=;{$-UI'8&BWmRA&D@uzUV(m/c $~U9WWCf%c33{#,20470247,3855345,9067497399,20924242637,19680812287
"<XliqWla%XEPxH[5Zc,cP7:V7h?jH?&?",19719454,3877569,8112049248,20046608590,17892695341
@b--}ANHXT[j8Ke^Lk%X_~BL+@IK,18581862,3983104,7627606554,19474076750,16948059826
swPL|$a<eEGEcW,18839555,4030742,6823954663,18756266066,15377653305
LC\X!Hx'2XZv=@]?:E,20636330,4293056,7621976286,19512950054,16830364622
9//L4T.D+vtH<<K5YfD0>-GIdby93^_q,19093730,3852008,7177517645,19154300077,16046571174
}T[jHs%]ar?~%=66:FK++,18637441,3864352,6684368214,18309911192,14944038852
B.TOemyA^#DBgsFLc,18542966,3921914,8041961572,19506646687,17820602082
Tm$(XJ%/z~?A{tF-,20899836,3966006,7881574728,19657449628,17261338689
A*:=4M&- n@]!2a.#~hM_;e,19840357,4510833,7625264519,19481542485,16880567059
"7]HLt-|""}:WH",18612088,3952261,6972932681,18931961196,15620361736
+eZd3\r$v;#%xl(j X3E'^,18203607,3941809,6352293991,18280795099,14385892899
x\rmMZ5NjRWf1M}t>[]~D=DBF'78'z#J[tDP=HfG}l_#sT!,21033908,4370316,7711819309,19133828115,16809317049
"qK|TuNWZ,j9i$4",19504795,3957747,7933903089,19729772444,17432345039
u6vDsGvtTW`e_-EHtys]}CVg7?<<9>,18871062,3881274,7321830049,18764671581,16245153045
$=c-7J)@<LT)_)hxAo,19130926,4541440,6884757779,18886802559,15487441425
"__A3{#=~,mtk,|0u@giHDF]q}AjV2Ca+j#u",20179041,3843754,7384301982,19336686936,16398286757
]08l5@xgRQkE+VY 5CB6EXP=Kx9;$ze[JZys{C@g,21727303,3909470,7755360080,19530908549,16957705575
sE[*UD9OT7!W|aO,18667973,3901084,6803141124,18707478487,15371451884
"""/G{:.b7_ejy/%/b`Q KasNv5xhaKzvg",18047063,3878137,7087081923,19215852129,16020422210
#I0oO]ZbeLNIc//5*~xr|gv+-DVxm6bj-,21018758,4000606,6461926801,18135899299,14296938168
"v>'<Dexy4HRxs3_|f@(}.7No+B49""N<Ff5fTr(gJVzano""%Go",19511496,4212147,7542256843,19394802613,16711555307
r:RXd*T*yg>^,18066376,3945413,7441144561,19570909641,16721358086
"nI?V/Dw8E[o7z~r5'LcCH~/T;ky(y(7HQu.YwY""#.?gby-",18722013,3899594,6989452045,18912670649,15640659379
",dEaJI4(9N]4-qH\Na^b&T? _g",19674123,3901651,7719127127,19429883757,17018876344
"^):fo5Gv]sp`+%owiJ6Z!2j77}6z""?b5EOk:?FioCZC736lsJ",19289479,3865660,7514359102,19485592954,16690096595
"ib|>qoQ1hT2QQ%?Zdlq}eGS6m@-,I%$yC!6<?ZZ:0>Yv",18438900,4430932,7147216206,18958346341,15922243513
"Tq>]C-rdGeaT""_Wb'd9+v|<?bmF|eIUp%Z(v""k%{OsEjmd9v",17072255,3825678,7051662108,18977792168,15876706616
X(a@USj|*=8I,20704466,4417240,7539324539,18983629012,16488563798
"Rlc.Mw))(]WK"",I>XIuG{bEv]dhfa8&;UJZPh=Z/nN]{``JM",19020525,4640405,8201355397,19421915896,17838398583
;CZ:Ge6.ma`mNpVr>w9T8R4FLkmHUN-3ved7E8,18555676,3901835,6873272678,18845137114,15415079641
"eUn]hK0q@a,2mp+bS2Po\Q+",17936653,3889627,7020543038,19002509073,15780315216
"D{1TqE,&bv3 { &/@",19909574,4452024,7267462022,19220665972,16165879796
"'`,(t$6,Es~Yi>zy<7VX&mVW#c-#TN}N9wH=$<3",19174657,3893427,7584448848,19614799878,16868264146
s( r}xm+$PcwckR;g%HKdIui,18516321,4048819,6565473188,18420485183,14702921449
mL[HdF<G5y 1DOSm!j.Oo[bE0sWJ3VnoQe4GYzg;w-5B6,18020147,3846342,6999587528,19071611928,15759819903
r._p[aj*a)ou^1ExW>-2^T?w){:RPj0AvI+}]Ve>\0?,20489677,4141873,7784430281,19210491503,17151659773
}P7'A;xU{/-4 w$M?;,20711281,3885332,7689254373,19571600530,16984919677
"!1cd*HV3;e""l'p\ ig_",17880155,3982604,7422047391,19520123893,16731587172
fRsLh2/pspn@#yTF=u.>Y]V,17566675,4043731,6851994443,18803148946,15558636889
~;03L_F~S(,20850372,3945181,6767050925,18436442040,14964137456
?LIur8LMEx+6%z,19658491,3939766,7451570521,19465642787,16580800986
"6zSZAFj2.uHsD%T4_/9,$WkKKS_D7'j%dDb/Q,&b_UAXw}n",19034882,3956306,7087616714,18922447304,15822221956
"KQUg5k0%#"">{Rc:p%-*'J)7l!s:",18962466,4476781,6851050870,18654238652,15277413392
['&wk$oybP<4BbW^@],20296705,4238471,6699107551,18446765231,14901287815
qqr}CM/.J*u&qE]Yzc%Pcbg+kRI)T?IHnzJ2\,20410873,3904244,7672417441,19472125695,16858526596
"y#E2sw[IOvrZ\jpIORyR,P9vK?Vjg`~",19102458,3860381,7695346506,19113342833,17019460209
{la*.B:n![&13uc-0wMO^.,18263252,4013815,6442685356,18421233406,14606104115
"cNa_8UgnN|9T9fh>hSW_1.4JSAn~w""W4E""*]<OF@RP6G<YJ",20382328,3976163,6509003472,18187721556,14376604328
Uz3*&^(<w'zmR-sFgX8G-)V3J&4\(Z\o`=J@o/69N!7twPfYS,19554270,4378427,7862930515,19674883542,17481698274
"KQCM*Y']zDJy@7'y7WlB1u*^SSW)N$q~sWWyU,'-d-iYzSoL",19297428,3960752,7228691595,19137694434,16139687950
q[z7)Ts%y8T:q6#dmq><J'Cj)46|aG644O'ebT:,19738939,3942201,6971075143,18854457926,15604449247
\w%R6g(K7(&z6FK0.0si&ys^KH1r,20981694,4088320,7357388480,18965480452,16103164518
3XlRLFl}'V,20101238,3868530,7865270525,19825642025,17419484131
"D-R,`YRn%VQNPol3n{Tq|CLH;'JfPRybt)>d =>E-",19744503,3915843,5992970133,17838527974,13624645690
"@.hu*0D{,-RFT}H|/Qy0oT\ CM0v2K:><B5SE,~-H*",19350835,4315797,7177597462,18766159361,15944038652
>]46}K=!Mp(/jc @E2E\n`Y7OJG/Hzd9FKr,21187959,3894533,6880516014,18569903151,15154211182
hC/yH=&%ti?AFpV:$EJ(v9`SPRr`/}pp!!:,21151561,3873162,7564624313,19427797867,16658715813
"t^TU!`}J,PWGqeOia&CwL]Ah,Fjm[%dd3H/kI",19344388,3956327,7694076358,19652767703,17092893184
pq<oFDuxql&U#!=~K#w6Xt1&oN<B~b4hw,19409573,4042243,7336232417,19179334940,16286348935
"f!sJa@ShAc5Lo&e mdcn+""PWG""I -p",21798266,4553598,6931034570,18450177475,15143968567
"yA|VO3#{:ngzv4MKgXW9CM|""N(l[pN l.|!1 XQEC9)'xRs40B",21628922,3935378,8317400021,20065711881,18150200950
1yI>;IY9/37B!^OvF?BS6[I/$FVGUt,18998257,3927932,7266898876,19102031156,16206111419
"'4%=8U""w&bz\0&TCPE84_3u[3z",18868542,3897896,7062201951,18687862327,15752065427
;Y7yZ&>GE:)<wO{]Ce]C-M<u1<F,20158176,3877385,6267395855,18126812497,14091689228
+pd3*|bc2UNBub f2$,21345436,3981290,7313972009,19185867713,16170562962
"iKWn/sGh9-;>DVEiX""VaC&H-[#5{R4KFyQ""U]f}'a`((QD:'U",19411176,4327097,6424992235,18247965553,14345572018
"""={X}lx1anJ8RoYaR'dk!8Lz\4%x",21194887,4392203,6965114293,18281793278,15329135295
"W2gAYTM<v',^bjUi=gh>y&*p#c|#9.T/;~7",19177853,3897238,7035180593,19015856185,15816585343
o)-~3::?nc.W_m#HqREfAH7B9lF{X+!@2svoV7@;,20905041,3968749,7580599042,19402990135,16673746416
.J`*Xs9&H!6us4%S+C,18902029,3838099,7542955587,19602404673,16866696174
bOnOeZ9_fe4yjah4)4@N@Px3,18049990,3885294,7482641884,19037721509,16828333031
0PZ<:+IwAIM{YI7CTz484m^r9Tz]P<G8K95Hr3,19183330,4909316,7218763670,19148902334,16164762509
C27*m ?SXY-qLt>Mwk'$N,21209281,3922724,7958831306,19790843205,17424447739
"G0+OBbY\v<Bj,9C)0'E6L>p8)1_&oovVLqVT\Pj",18481137,3890090,7284462775,19352803328,16338502027
Q[0?C|ckvcx`3lkt5iA,19093668,3976872,7578522669,19326176529,16833280360
"vW\C>Q<-Q!:c3ozja:PQ@sus}k""W*P1~FO8 *",18982228,3861525,6828563664,18859207209,15333510570
"#eUK@4o2-""CV*A:Y3m#;w/tsOS!6@%n&4)STvH$dM",21277017,4258542,8037208050,19850196240,17598680704
p+O[\TX./NWQpLm6Y:Q)f6MM|tRbg1!g0>zfrX=tgi*'ykizu,19014130,3895800,7501071923,19439804839,16627618638
"(Lxn'""m]""w",18719760,3981568,6819428287,18648212845,15262095011
.DoO36eOCI*^#fgB|:<4A,18341739,3895316,6695202150,18698883663,15075035157
"|FRpEu""mKg&Ba=`d$TsI]v%/av+@yOo1.v0eyhI)9",19780028,3846618,7525245099,19360269166,16650350899
"P,%*yOd(^T*Go)qKY(Nihf},]fK%<X#;x&",19102265,4024416,7653770251,19604633089,16920571272
dhlrE0w2}s^{$z^aL,18112746,4494721,6439808136,18458020988,14663374736
BnZC/?siWwmr!![gdGJLX>%VjU6}kL,17626962,3836110,6688134377,18500113999,15062405518
"1Ki.GfY""pSwYj$Q~nGwVyQ6Kb/zOlS6|x%=M(5S",21720396,3927156,7848861755,18672978014,17097588297
"A(E""j1Gyww{mnojYw4[gw*Z3+z(",18488931,3913827,7855082435,19976388085,17513546111
++fl']F*i/f% g2T{Tb]Mi,18775878,3910045,6759071696,18707129988,15181244134
8jnJxkZJq(\;'$Kb#,19663926,3886608,7667575931,19487886098,16911314827
nG0fhDSq+]EHs*QzN0 Korw.ge2=k$*MwuFztvXg(Tp,19745452,4351284,7534603616,19492581673,16763280567
QDsF[3l[?QGvNHmW]=ps!X;}nn1io!s7w,19289706,4142470,7540419874,19389733527,16763267695
VS@Z;fsHr]S$.|o2k,17491452,3895477,6228850704,18209443509,14107533868
"-JxO,sc&m|SPS|7.A{v-]h6#CrNh",17182026,3876470,6393312737,18505108493,14592239704
TbeP#Oxwiy=8<,16707082,3785623,9439202419,22406662675,20974327383
;v46KM;\M)X%Y,17310254,3844792,7109433589,19520672462,16255518384
9k@b}\4akU58ILD22NW^?]Vc4M:yJ}go,21415408,5356256,7850214354,19806213278,17374806466
"v""""!h<il2:OK+3w",18998583,4505879,9857750665,22662105037,21622418447
"*`m6?WlM! _M3j{LYo;/SI6tBAt+Y1l[;YsD%Jx#eKc""/",16387018,3904468,10380520190,22682095228,22725774130
"<+d=L""'w_fa>3",17011155,3909304,6995759566,19524119944,16129322787
1dN+-h\=9]NxV$US^7,15538335,3779912,9694827942,22672620297,21462007480
"&2$,=D!aU\hG8P2K5)Bl-tco[.K[U6",16507274,3861603,7573857597,19828483295,17021319107
")dgQ&Y>&+ulg:A""N^v@Rv83$*{r9 Kx",16765975,3850226,6796504703,19366070665,15669508745
